Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,source_league,source_season,source_provider
BUNDESLIGA,25/09/2021,Borussia Mönchengladbach,Borussia Dortmund,1,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,25/09/2021,Eintracht Frankfurt,1. FC Köln,1,1,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,25/09/2021,RB Leipzig,Hertha BSC,6,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,25/09/2021,TSG 1899 Hoffenheim,VfL Wolfsburg,3,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,26/09/2021,SC Freiburg,FC Augsburg,3,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,26/09/2021,VfL Bochum 1848,VfB Stuttgart,0,0,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,01/10/2021,1. FC Köln,SpVgg Greuther Fürth 1903,3,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,02/10/2021,Borussia Dortmund,FC Augsburg,2,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,02/10/2021,Hertha BSC,SC Freiburg,1,2,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,02/10/2021,RB Leipzig,VfL Bochum 1848,3,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,02/10/2021,VfB Stuttgart,TSG 1899 Hoffenheim,3,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,02/10/2021,VfL Wolfsburg,Borussia Mönchengladbach,1,3,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,03/10/2021,1. FSV Mainz 05,1. FC Union Berlin,1,2,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,03/10/2021,Arminia Bielefeld,Bayer 04 Leverkusen,0,4,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,03/10/2021,FC Bayern München,Eintracht Frankfurt,1,2,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,15/10/2021,TSG 1899 Hoffenheim,1. FC Köln,5,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,16/10/2021,1. FC Union Berlin,VfL Wolfsburg,2,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,16/10/2021,Borussia Dortmund,1. FSV Mainz 05,3,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,16/10/2021,Borussia Mönchengladbach,VfB Stuttgart,1,1,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,16/10/2021,Eintracht Frankfurt,Hertha BSC,1,2,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,16/10/2021,SC Freiburg,RB Leipzig,1,1,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,16/10/2021,SpVgg Greuther Fürth 1903,VfL Bochum 1848,0,1,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,17/10/2021,Bayer 04 Leverkusen,FC Bayern München,1,5,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,17/10/2021,FC Augsburg,Arminia Bielefeld,1,1,D,BUNDESLIGA,2021-22,openfootball
